Transaction_ID,Item_1,Item_2,Item_3,Item_4,Item_5
1,Bread,Milk,Coke,,
2,Beer,Diaper,Milk,Cheese,
3,Eggs,Bread,Milk,,
4,Bread,Beer,Diaper,Milk,Eggs
5,Coke,Cheese,Milk,,
6,Bread,Milk,Diaper,,
7,Beer,Coke,Eggs,,
8,Milk,Cheese,Bread,,
9,Bread,Beer,Diaper,,
10,Eggs,Coke,Beer,,
11,Milk,Bread,Eggs,,
12,Beer,Milk,Diaper,,
13,Bread,Cheese,Milk,,
14,Beer,Eggs,Coke,,
15,Bread,Beer,Milk,,
16,Diaper,Milk,Bread,,
17,Coke,Milk,Eggs,,
18,Bread,Beer,Coke,,
19,Milk,Cheese,Eggs,,
20,Bread,Beer,Diaper,,
21,Milk,Eggs,Cheese,,
22,Beer,Coke,Diaper,,
23,Bread,Milk,Beer,,
24,Eggs,Milk,Beer,,
25,Bread,Coke,Milk,,
26,Beer,Milk,Cheese,,
27,Bread,Eggs,Beer,,
28,Diaper,Bread,Milk,,
29,Beer,Bread,Coke,,
30,Milk,Cheese,Beer,,
31,Eggs,Beer,Milk,,
32,Bread,Beer,Milk,,
33,Diaper,Milk,Eggs,,
34,Bread,Coke,Beer,,
35,Milk,Bread,Beer,,
36,Cheese,Eggs,Bread,,
37,Beer,Milk,Coke,,
38,Bread,Milk,Cheese,,
39,Beer,Diaper,Milk,,
40,Eggs,Bread,Milk,,
41,Milk,Bread,Beer,,
42,Beer,Coke,Bread,,
43,Eggs,Milk,Beer,,
44,Bread,Diaper,Milk,,
45,Beer,Cheese,Bread,,
46,Milk,Eggs,Coke,,
47,Beer,Bread,Milk,,
48,Cheese,Bread,Milk,,
49,Beer,Diaper,Eggs,,
50,Bread,Milk,Beer,,
51,Coke,Milk,Eggs,,
52,Beer,Bread,Cheese,,
53,Milk,Beer,Eggs,,
54,Bread,Coke,Milk,,
55,Beer,Milk,Bread,,
56,Eggs,Beer,Milk,,
57,Bread,Cheese,Milk,,
58,Beer,Bread,Eggs,,
59,Milk,Beer,Diaper,,
60,Bread,Milk,Coke,,
61,Beer,Eggs,Bread,,
62,Milk,Beer,Cheese,,
63,Bread,Milk,Diaper,,
64,Beer,Bread,Coke,,
65,Eggs,Milk,Bread,,
66,Beer,Milk,Diaper,,
67,Bread,Beer,Coke,,
68,Milk,Eggs,Beer,,
69,Bread,Milk,Cheese,,
70,Beer,Bread,Milk,,
71,Milk,Coke,Eggs,,
72,Beer,Bread,Diaper,,
73,Bread,Milk,Eggs,,
74,Cheese,Milk,Bread,,
75,Beer,Coke,Milk,,
76,Bread,Beer,Eggs,,
77,Milk,Beer,Diaper,,
78,Bread,Milk,Beer,,
79,Eggs,Bread,Milk,,
80,Beer,Cheese,Bread,,
81,Milk,Bread,Diaper,,
82,Beer,Coke,Milk,,
83,Bread,Milk,Eggs,,
84,Beer,Milk,Bread,,
85,Cheese,Milk,Eggs,,
86,Bread,Beer,Milk,,
87,Milk,Beer,Coke,,
88,Eggs,Bread,Milk,,
89,Beer,Milk,Cheese,,
90,Bread,Diaper,Milk,,
91,Milk,Bread,Beer,,
92,Beer,Eggs,Bread,,
93,Milk,Bread,Cheese,,
94,Bread,Milk,Eggs,,
95,Beer,Milk,Bread,,
96,Bread,Coke,Beer,,
97,Milk,Eggs,Beer,,
98,Bread,Milk,Cheese,,
99,Beer,Bread,Milk,,
100,Milk,Bread,Diaper,,
